actual,proposed
0.30000463128089905,0.20000000298023224
0.30300432443618774,0.20000000298023224
0.3045041859149933,0.20000000298023224
0.30600404739379883,0.20000000298023224
0.30750390887260437,0.20000000298023224
0.3090038001537323,0.20000000298023224
0.15238399803638458,0.19813647866249084
0.15776026248931885,0.1970338672399521
0.1601690798997879,0.1935328096151352
0.1531791090965271,0.19088779389858246
0.1467219442129135,0.18962441384792328
0.12945690751075745,0.18997280299663544
0.11864502727985382,0.18567802011966705
0.10351292043924332,0.18477438390254974
0.0841178223490715,0.18290039896965027
0.06923216581344604,0.18167203664779663
0.05006934329867363,0.18016177415847778
0.026684356853365898,0.17810757458209991
0.0,0.1766878217458725
0.0,0.17392782866954803
0.0,0.1705840528011322
0.0,0.166951522231102
0.0,0.16344042122364044
0.0,0.15991976857185364
0.0,0.15640027821063995
0.0,0.15255573391914368
0.0,0.14063957333564758
0.0,0.13650310039520264
0.0,0.13261008262634277
0.0,0.12892501056194305
0.0,0.12050934135913849
0.0,0.11644572019577026
0.0,0.11224237084388733
0.0,0.10804200917482376
0.0,0.09990699589252472
0.0,0.09572850912809372
0.0,0.08759383857250214
0.0,0.08355965465307236
0.0,0.07963874191045761
0.0,0.07582496106624603
0.0,0.06867104023694992
0.0,0.06530206650495529
0.0,0.06201788783073425
0.0,0.05884849280118942
0.0,0.055802058428525925
0.0,0.05285831168293953
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.13066525757312775
0.0,0.13012097775936127
0.00997406430542469,0.128815695643425
0.022319070994853973,0.12760797142982483
0.05925390496850014,0.12702655792236328
0.075090691447258,0.12670807540416718
0.09938178211450577,0.12603284418582916
0.11894083023071289,0.12563981115818024
0.1294858455657959,0.12537693977355957
0.15294551849365234,0.125308096408844
0.1629919409751892,0.12561041116714478
0.17725719511508942,0.12579213082790375
0.19132819771766663,0.12620225548744202
0.20085477828979492,0.12670095264911652
0.20590564608573914,0.12716296315193176
0.2109055519104004,0.12774260342121124
0.22021591663360596,0.1283312439918518
0.2207016497850418,0.1290140450000763
0.22556547820568085,0.12972404062747955
0.2260282337665558,0.13058379292488098
0.22215233743190765,0.13093231618404388
0.21835651993751526,0.13174645602703094
0.20591920614242554,0.1326933354139328
0.1858556866645813,0.13310401141643524
0.17391927540302277,0.1335388720035553
0.1577950268983841,0.13399112224578857
0.13753558695316315,0.1337052434682846
0.11754992604255676,0.1336182802915573
0.09782540798187256,0.13347138464450836
0.07399089634418488,0.13309212028980255
0.04609508067369461,0.13261277973651886
0.018543172627687454,0.13197322189807892
3.7017241993453354e-05,0.131130188703537
0.0,0.13011780381202698
0.0,0.12876459956169128
0.0,0.1272280067205429
0.0,0.1253344565629959
0.0,0.12116784602403641
0.0,0.11872070282697678
0.0,0.11604249477386475
0.0,0.11323413252830505
0.0,0.11017968505620956
0.0,0.10373957455158234
0.0,0.09668600559234619
0.0,0.08891025930643082
0.0,0.08489695191383362
0.0,0.08073927462100983
0.0,0.07663891464471817
0.0,0.0726381465792656
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.12729401886463165
0.0,0.12495370209217072
0.0,0.12286696583032608
0.0,0.12071524560451508
0.0,0.11710134148597717
0.0,0.11561433970928192
0.0,0.11394120752811432
0.0,0.11276324838399887
0.0,0.11147879809141159
0.0,0.11042079329490662
0.0,0.10965197533369064
0.0,0.1087358295917511
0.0,0.10733123123645782
0.0,0.10681013762950897
0.004526791628450155,0.10632404685020447
0.014730039983987808,0.10573547333478928
0.030275912955403328,0.1055172011256218
0.031334370374679565,0.10537312179803848
0.036721475422382355,0.10522370785474777
